38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	0	0	716	52	0	768
0	0	0	0	0	0	698	70	0	768
0	0	0	0	0	0	706	62	0	768
0	0	0	0	0	0	716	52	0	768
0	0	0	0	0	0	709	59	0	768
0	0	0	0	0	0	710	58	0	768
0	0	0	0	0	0	699	69	0	768
0	0	0	0	0	0	707	61	0	768
0	0	0	0	0	0	695	73	0	768
0	0	0	0	0	0	700	68	0	768
0	0	0	0	0	0	699	69	0	768
0	0	0	0	0	0	695	73	0	768
0	0	0	0	0	0	716	52	0	768
0	0	0	0	0	0	718	50	0	768
0	0	0	0	0	0	701	67	0	768
0	0	0	0	0	0	702	66	0	768
0	0	0	0	0	0	715	53	0	768
0	0	0	0	0	0	704	64	0	768
0	0	0	0	0	1	710	57	0	768
0	0	0	0	0	0	706	62	0	768
0	0	0	0	0	0	701	67	0	768
0	0	0	0	0	0	689	79	0	768
0	0	0	0	0	0	699	69	0	768
0	0	0	0	0	0	727	41	0	768
0	0	0	0	0	0	701	67	0	768
0	0	0	0	0	0	717	51	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	689	79	0	768
0	0	0	0	0	0	693	75	0	768
0	0	0	0	0	0	713	55	0	768
0	0	0	0	0	0	699	69	0	768
0	0	0	0	0	0	688	80	0	768
0	0	0	0	0	0	695	73	0	768
0	0	0	0	0	0	697	71	0	768
0	0	0	0	0	0	699	69	0	768
0	0	0	0	0	0	678	90	0	768
0	0	0	0	0	0	689	79	0	768
0	0	0	0	0	0	719	49	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	0	715	53	0	768
0	0	0	0	0	0	725	43	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	702	66	0	768
0	0	0	0	0	0	729	39	0	768
0	0	0	0	0	0	713	55	0	768
0	0	0	0	0	0	716	52	0	768
0	0	0	0	0	0	696	72	0	768
0	0	0	0	0	0	689	79	0	768
0	0	0	0	0	0	721	47	0	768
0	0	0	0	0	0	695	73	0	768
0	0	0	0	0	1	723	44	0	768
0	0	0	0	0	0	717	51	0	768
0	0	0	0	0	0	723	45	0	768
0	0	0	0	0	1	726	41	0	768
0	0	0	0	0	0	725	43	0	768
0	0	0	0	0	0	721	47	0	768
0	0	0	0	0	0	724	44	0	768
0	0	0	0	0	0	719	49	0	768
0	0	0	0	0	0	711	57	0	768
0	0	0	0	0	0	710	58	0	768
0	0	0	0	0	0	721	47	0	768
0	0	0	0	0	0	727	41	0	768
0	0	0	0	0	1	722	45	0	768
0	0	0	0	0	0	729	39	0	768
0	0	0	0	0	0	728	40	0	768
0	0	0	0	0	0	723	45	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	725	43	0	768
0	0	0	0	0	0	714	54	0	768
0	0	0	0	0	0	707	61	0	768
0	0	0	0	0	0	731	37	0	768
0	0	0	0	0	0	727	41	0	768
0	0	0	0	0	0	707	61	0	768
0	0	0	0	0	0	707	61	0	768
0	0	0	0	0	0	714	54	0	768
0	0	0	0	0	0	722	46	0	768
0	0	0	0	0	0	730	38	0	768
0	0	0	0	0	0	727	41	0	768
0	0	0	0	0	0	716	52	0	768
0	0	0	0	0	0	721	47	0	768
0	0	0	0	0	0	718	50	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	717	51	0	768
0	0	0	0	0	0	723	45	0	768
0	0	0	0	0	0	717	51	0	768
0	0	0	0	0	0	725	43	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	0	724	44	0	768
0	0	0	0	0	0	719	49	0	768
0	0	0	0	0	0	729	39	0	768
0	0	0	0	0	0	718	50	0	768
0	0	0	0	0	0	721	47	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	0	721	47	0	768
0	0	0	0	0	0	708	60	0	768
0	0	0	0	0	0	717	51	0	768
0	0	0	0	0	0	715	53	0	768
0	0	0	0	0	0	720	48	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	715	53	0	768
0	0	0	0	0	0	723	45	0	768
0	0	0	0	0	0	728	40	0	768
0	0	0	0	0	0	711	57	0	768
0	0	0	0	0	0	719	49	0	768
0	0	0	0	0	1	732	35	0	768
0	0	0	0	0	1	744	23	0	768
0	0	0	0	0	0	742	26	0	768
0	0	0	0	0	0	738	30	0	768
0	0	0	0	0	0	739	29	0	768
0	0	0	0	0	1	749	18	0	768
0	0	0	0	0	0	742	26	0	768
0	0	0	0	0	0	732	36	0	768
0	0	0	0	0	1	742	25	0	768
0	0	0	0	0	0	733	35	0	768
0	0	0	0	0	0	740	28	0	768
0	0	0	0	0	0	732	36	0	768
0	0	0	0	0	0	737	31	0	768
0	0	0	0	0	0	732	36	0	768
0	0	0	0	0	1	740	27	0	768
0	0	0	0	0	0	740	28	0	768
0	0	0	0	0	1	735	32	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	0	730	38	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	1	738	29	0	768
0	0	0	0	0	1	742	25	0	768
0	0	0	0	0	0	738	30	0	768
0	0	0	0	0	0	737	31	0	768
0	0	0	0	0	0	733	35	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	0	742	26	0	768
0	0	0	0	0	1	735	32	0	768
0	0	0	0	0	0	748	20	0	768
0	0	0	0	0	0	738	30	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	1	727	40	0	768
0	0	0	0	0	0	744	24	0	768
0	0	0	0	0	0	743	25	0	768
0	0	0	0	0	1	739	28	0	768
0	0	0	0	0	0	745	23	0	768
0	0	0	0	0	0	735	33	0	768
0	0	0	0	0	0	740	28	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	1	736	31	0	768
0	0	0	0	0	1	739	28	0	768
0	0	0	0	0	1	726	41	0	768
0	0	0	0	0	0	732	36	0	768
0	0	0	0	0	0	723	45	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	732	36	0	768
0	0	0	0	0	1	732	35	0	768
0	0	0	0	0	1	741	26	0	768
0	0	0	0	0	0	731	37	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	1	745	22	0	768
0	0	0	0	0	0	737	31	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	0	727	41	0	768
0	0	0	0	0	0	740	28	0	768
0	0	0	0	0	0	729	39	0	768
0	0	0	0	0	0	730	38	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	0	738	30	0	768
0	0	0	0	0	0	731	37	0	768
0	0	0	0	0	0	742	26	0	768
0	0	0	0	0	0	745	23	0	768
0	0	0	0	0	0	737	31	0	768
0	0	0	0	0	0	738	30	0	768
0	0	0	0	0	0	741	27	0	768
0	0	0	0	0	0	737	31	0	768
0	0	0	0	0	0	727	41	0	768
0	0	0	0	0	0	742	26	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	0	742	26	0	768
0	0	0	0	0	0	724	44	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	733	35	0	768
0	0	0	0	0	1	741	26	0	768
0	0	0	0	0	0	734	34	0	768
0	0	0	0	0	0	729	39	0	768
0	0	0	0	0	0	735	33	0	768
0	0	0	0	0	0	736	32	0	768
0	0	0	0	0	0	738	30	0	768
0	0	0	0	0	0	723	45	0	768
0	0	0	0	0	0	726	42	0	768
0	0	0	0	0	0	715	53	0	768
