38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	2	32	683	51	0	768
0	0	0	0	2	26	691	49	0	768
0	0	0	0	1	27	690	50	0	768
0	0	0	0	1	29	689	49	0	768
0	0	0	0	1	30	687	50	0	768
0	0	0	0	2	33	693	40	0	768
0	0	0	0	2	32	692	42	0	768
0	0	0	0	2	32	697	37	0	768
0	0	0	0	2	35	693	38	0	768
0	0	0	0	1	36	700	31	0	768
0	0	0	0	2	33	704	29	0	768
0	0	0	0	3	37	689	39	0	768
0	0	0	0	2	35	692	39	0	768
0	0	0	0	2	39	676	51	0	768
0	0	0	0	3	60	651	54	0	768
0	0	0	0	1	58	683	26	0	768
0	0	0	0	0	31	700	37	0	768
0	0	0	0	2	34	691	41	0	768
0	0	0	0	1	36	686	45	0	768
0	0	0	0	4	36	686	42	0	768
0	0	0	0	4	63	659	42	0	768
0	0	0	0	1	57	677	33	0	768
0	0	0	0	1	34	695	38	0	768
0	0	0	0	2	34	685	47	0	768
0	0	0	0	2	37	690	39	0	768
0	0	0	1	5	49	660	53	0	768
0	0	0	0	5	58	671	34	0	768
0	0	0	0	3	48	665	52	0	768
0	0	0	0	0	33	693	42	0	768
0	0	0	0	0	35	697	36	0	768
0	0	0	0	2	37	682	47	0	768
0	0	0	0	3	61	655	49	0	768
0	0	0	0	0	57	660	51	0	768
0	0	0	0	1	37	683	47	0	768
0	0	0	0	0	33	692	43	0	768
0	0	0	0	1	31	711	25	0	768
0	0	0	0	2	40	689	37	0	768
0	0	0	0	4	51	658	55	0	768
0	0	0	0	5	60	662	41	0	768
0	0	0	0	3	39	686	40	0	768
0	0	0	0	0	32	697	39	0	768
0	0	0	0	1	37	688	42	0	768
0	0	0	0	1	32	696	39	0	768
0	0	0	0	2	65	663	38	0	768
0	0	0	0	1	57	667	43	0	768
0	0	0	0	1	34	689	44	0	768
0	0	0	0	2	34	699	33	0	768
0	0	0	0	1	38	700	29	0	768
0	0	0	0	6	52	668	42	0	768
0	0	0	0	3	66	663	36	0	768
0	0	0	0	2	48	690	28	0	768
0	0	0	0	0	32	689	47	0	768
0	0	0	0	1	35	685	47	0	768
0	0	0	0	1	36	667	64	0	768
0	0	0	0	3	57	659	49	0	768
0	0	0	0	2	53	679	34	0	768
0	0	0	0	0	32	703	33	0	768
0	0	0	0	2	34	686	46	0	768
0	0	0	0	1	44	699	24	0	768
0	0	0	0	5	59	687	17	0	768
0	0	0	0	1	63	676	28	0	768
0	0	0	0	1	37	710	20	0	768
0	0	0	0	1	30	705	32	0	768
0	0	0	0	1	35	704	28	0	768
0	0	0	0	2	57	691	18	0	768
0	0	0	0	2	54	695	17	0	768
0	0	0	0	1	30	712	25	0	768
0	0	0	0	3	33	709	23	0	768
0	0	0	0	1	31	688	48	0	768
0	0	0	0	4	52	696	16	0	768
