38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	109	312	267	80	0	768
0	0	0	0	109	291	282	86	0	768
0	0	0	0	118	295	280	75	0	768
0	0	0	0	107	305	292	64	0	768
0	0	0	0	95	268	363	42	0	768
0	0	0	0	20	263	396	89	0	768
0	0	0	0	5	129	492	142	0	768
0	0	0	0	17	111	433	207	0	768
0	0	0	0	13	173	444	138	0	768
0	0	0	0	5	145	497	121	0	768
0	0	0	0	5	115	480	168	0	768
0	0	0	0	4	95	479	190	0	768
0	0	0	0	1	79	528	160	0	768
0	0	0	0	8	105	496	159	0	768
0	0	0	0	0	121	529	118	0	768
0	0	0	0	2	93	520	153	0	768
0	0	0	0	0	109	539	120	0	768
0	0	0	0	1	101	538	128	0	768
0	0	0	0	1	91	551	125	0	768
0	0	0	0	4	94	515	155	0	768
0	0	0	0	4	102	512	150	0	768
0	0	0	0	1	95	532	140	0	768
0	0	0	0	2	85	532	149	0	768
0	0	0	0	2	111	532	123	0	768
0	0	0	0	6	102	570	90	0	768
0	0	0	0	1	96	556	115	0	768
0	0	0	0	5	107	572	84	0	768
0	0	0	0	3	96	555	114	0	768
0	0	0	0	1	77	523	167	0	768
0	0	0	0	2	88	561	117	0	768
0	0	0	0	2	84	517	165	0	768
0	0	0	0	3	90	550	125	0	768
0	0	0	0	0	83	520	165	0	768
0	0	0	0	3	91	506	168	0	768
0	0	0	0	4	97	500	167	0	768
0	0	0	0	4	82	515	167	0	768
0	0	0	0	0	62	539	167	0	768
0	0	0	0	1	70	542	155	0	768
0	0	0	0	1	82	495	190	0	768
0	0	0	0	2	94	498	174	0	768
0	0	0	0	2	95	523	148	0	768
0	0	0	0	1	65	542	160	0	768
0	0	0	0	2	81	526	159	0	768
0	0	0	0	1	78	543	146	0	768
0	0	0	0	2	82	533	151	0	768
0	0	0	0	0	77	512	179	0	768
0	0	0	0	1	77	514	176	0	768
0	0	0	0	7	83	541	137	0	768
0	0	0	0	0	72	509	187	0	768
0	0	0	0	1	80	522	165	0	768
0	0	0	0	4	86	524	154	0	768
0	0	0	0	1	90	517	160	0	768
0	0	0	0	3	83	520	162	0	768
0	0	0	0	2	89	501	176	0	768
0	0	0	0	2	91	504	171	0	768
0	0	0	0	2	90	513	163	0	768
0	0	0	0	0	86	519	163	0	768
0	0	0	0	1	81	501	185	0	768
0	0	0	0	0	66	509	193	0	768
0	0	0	0	0	71	509	188	0	768
0	0	0	0	1	56	501	210	0	768
0	0	0	0	2	74	529	163	0	768
0	0	0	0	1	63	498	206	0	768
0	0	0	0	1	72	491	204	0	768
0	0	0	0	0	64	483	221	0	768
0	0	0	0	0	68	472	228	0	768
0	0	0	0	0	75	492	201	0	768
0	0	0	0	1	57	499	211	0	768
0	0	0	0	0	68	479	221	0	768
0	0	0	0	1	58	499	210	0	768
0	0	0	0	0	65	478	225	0	768
0	0	0	0	2	74	535	157	0	768
0	0	0	0	8	98	467	195	0	768
0	0	0	0	2	104	451	211	0	768
0	0	0	0	2	61	467	238	0	768
0	0	0	0	5	48	472	243	0	768
0	0	0	0	6	93	473	196	0	768
0	0	0	7	10	98	451	202	0	768
0	0	0	9	21	149	466	123	0	768
0	0	0	0	5	72	547	144	0	768
0	0	0	0	3	94	535	136	0	768
0	0	0	0	10	101	524	133	0	768
0	0	0	0	6	116	515	131	0	768
0	0	0	0	15	188	464	101	0	768
0	0	0	0	3	140	518	107	0	768
0	0	0	0	3	68	529	168	0	768
0	0	0	0	6	145	517	100	0	768
0	0	0	0	8	116	491	153	0	768
0	0	0	0	18	136	472	142	0	768
0	0	0	0	13	135	516	104	0	768
0	0	0	0	11	122	492	143	0	768
0	0	0	0	9	125	521	113	0	768
0	0	0	0	12	147	543	66	0	768
0	0	0	0	9	139	526	94	0	768
0	0	0	0	12	158	530	68	0	768
0	0	0	0	10	139	533	86	0	768
0	0	0	0	10	141	542	75	0	768
0	0	0	0	10	157	497	104	0	768
0	0	0	0	7	139	540	82	0	768
0	0	0	0	17	161	551	39	0	768
0	0	0	0	10	153	505	100	0	768
0	0	0	0	11	140	523	94	0	768
0	0	0	0	10	109	564	85	0	768
0	0	0	0	12	138	519	99	0	768
0	0	0	0	4	97	498	169	0	768
0	0	0	0	5	111	491	161	0	768
0	0	0	0	13	147	484	124	0	768
0	0	0	2	11	144	481	130	0	768
0	0	0	0	11	153	521	83	0	768
0	0	0	0	12	161	536	59	0	768
0	0	0	0	10	141	531	86	0	768
0	0	0	0	12	137	544	75	0	768
0	0	0	0	9	149	540	70	0	768
0	0	0	0	20	151	520	77	0	768
0	0	0	0	9	137	524	98	0	768
0	0	0	0	19	121	509	119	0	768
0	0	0	3	19	144	540	62	0	768
0	0	0	1	21	141	532	73	0	768
0	0	0	1	18	127	511	111	0	768
0	0	0	3	15	142	512	96	0	768
0	0	0	3	18	146	518	83	0	768
0	0	0	3	21	138	502	104	0	768
0	0	0	0	30	137	529	72	0	768
0	0	0	0	13	127	517	111	0	768
0	0	0	0	19	142	523	84	0	768
0	0	0	1	18	134	507	108	0	768
0	0	0	0	17	149	514	88	0	768
0	0	0	0	19	152	514	83	0	768
0	0	0	0	22	144	522	80	0	768
0	0	0	0	24	161	552	31	0	768
0	0	0	0	8	139	519	102	0	768
0	0	0	0	7	104	567	90	0	768
0	0	0	0	7	118	520	123	0	768
0	0	0	0	17	152	540	59	0	768
0	0	0	0	16	139	509	104	0	768
0	0	0	1	26	142	507	92	0	768
0	0	0	0	17	137	528	86	0	768
0	0	0	1	23	183	517	44	0	768
0	0	0	1	19	156	521	71	0	768
0	0	0	3	34	211	493	27	0	768
0	0	0	0	10	162	544	52	0	768
0	0	0	1	23	197	519	28	0	768
0	0	0	1	16	179	524	48	0	768
0	0	0	2	20	189	514	43	0	768
0	0	0	0	22	185	519	42	0	768
0	0	0	1	17	170	514	66	0	768
0	0	0	0	21	183	496	68	0	768
0	0	0	2	17	159	499	91	0	768
0	0	0	0	13	153	489	113	0	768
0	0	0	1	17	166	534	50	0	768
0	0	0	2	21	163	542	40	0	768
0	0	0	0	14	166	536	52	0	768
0	0	0	1	20	195	509	43	0	768
0	0	0	0	20	153	528	67	0	768
0	0	0	1	20	186	518	43	0	768
0	0	0	1	26	187	500	54	0	768
0	0	0	1	26	186	523	32	0	768
0	0	0	0	21	208	514	25	0	768
