38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	3	37	147	573	8	0	768
0	0	0	0	32	141	586	9	0	768
0	0	0	0	24	159	579	6	0	768
0	0	0	3	38	143	578	6	0	768
0	0	0	2	38	147	573	8	0	768
0	0	0	3	37	129	593	6	0	768
0	0	0	5	37	136	586	4	0	768
0	0	0	2	41	146	570	9	0	768
0	0	0	0	3	115	643	7	0	768
0	0	0	0	5	92	664	7	0	768
0	0	0	0	3	112	651	2	0	768
0	0	0	0	17	109	635	7	0	768
0	0	0	0	18	121	621	8	0	768
0	0	0	0	17	116	625	10	0	768
0	0	0	0	18	122	621	7	0	768
0	0	0	0	12	120	623	13	0	768
0	0	0	0	13	125	625	5	0	768
0	0	0	1	17	130	618	2	0	768
0	0	0	0	8	145	610	5	0	768
0	0	0	0	2	96	663	7	0	768
0	0	0	0	2	98	664	4	0	768
0	0	0	0	1	99	664	4	0	768
0	0	0	0	6	120	638	4	0	768
0	0	0	0	4	129	631	4	0	768
0	0	0	1	32	118	613	4	0	768
0	0	0	0	2	124	635	7	0	768
0	0	0	0	3	99	663	3	0	768
0	0	0	0	4	133	626	5	0	768
0	0	0	0	6	112	648	2	0	768
0	0	0	0	11	111	644	2	0	768
0	0	0	0	12	99	653	4	0	768
0	0	0	0	12	110	642	4	0	768
0	0	0	0	11	109	644	4	0	768
0	0	0	0	11	101	652	4	0	768
0	0	0	0	10	112	643	3	0	768
0	0	0	0	2	101	659	6	0	768
0	0	0	0	1	84	679	4	0	768
0	0	0	0	8	127	630	3	0	768
0	0	0	0	4	94	665	5	0	768
0	0	0	0	3	123	638	4	0	768
0	0	0	0	7	99	653	9	0	768
0	0	0	0	4	121	638	5	0	768
0	0	0	0	4	93	660	11	0	768
0	0	0	0	3	98	652	15	0	768
0	0	0	0	1	80	675	12	0	768
0	0	0	0	4	80	674	10	0	768
0	0	0	0	13	118	633	4	0	768
0	0	0	0	20	135	613	0	0	768
0	0	0	0	16	122	630	0	0	768
0	0	0	0	17	100	651	0	0	768
0	0	0	0	15	108	644	1	0	768
0	0	0	0	6	88	673	1	0	768
0	0	0	0	6	71	690	1	0	768
0	0	0	0	8	77	676	7	0	768
0	0	0	0	17	82	660	9	0	768
0	0	0	0	19	108	628	13	0	768
